Mission,Spacecraft,Launch date,Carrier rocket,Operator,Mission type,Outcome
STEREO,STEREO A,25-10-2006,Delta II 7925-10L,NASA,Flyby,Operational
STEREO,STEREO B,25-10-2006,Delta II 7925-10L,NASA,Flyby,"First lunar sample return mission from China, which returned 1.731 kg (61.1 oz) of lunar samples on 16 December 2020. The orbiter received a mission extension and is currently in a distant retrograde orbit (DRO) of the Moon.[89]"
ARTEMIS,ARTEMIS P1,17-02-2007,Delta II 7925,NASA,Orbiter,Operational
ARTEMIS,ARTEMIS P2,17-02-2007,Delta II 7925,NASA,Orbiter,Lunar orbiting CubeSat that will test and verify the calculated orbital stability planned for the Gateway space station.
SELENE,Kaguya,14-09-2007,H-IIA 2022,JAXA,Orbiter,Operational
SELENE,Okina,14-09-2007,H-IIA 2022,JAXA,Orbiter,"Lunar Orbiter by the Korea Aerospace Research Institute (KARI) of South Korea. The orbiter, its science payload and ground control infrastructure are technology demonstrators. The orbiter will also be tasked with surveying lunar resources such as water ice, uranium, helium-3, silicon, and aluminium, and produce a topographic map to help select future lunar landing sites."
SELENE,Ouna,14-09-2007,H-IIA 2022,JAXA,Orbiter,Uncrewed test of Orion spacecraft in lunar flyby and lunar Distant retrograde orbit.
Chang'e 1,Chang'e 1,24-10-2007,Long March 3A,CNSA,Orbiter,"H-Map was designed to search for evidence of lunar water ice inside permanently shadowed craters using its neutron detector, while IceCube was intended to use its infrared spectrometer to detect water and organic compounds in the lunar surface and exosphere."
Chandrayaan-1,Chandrayaan-1,22-10-2008,PSLV-XL C11,ISRO,Orbiter,Operational
Chandrayaan-1,Moon Impact Probe,22-10-2008,PSLV-XL C11,ISRO,Impactor,It is designed to image the Interim Cryogenic Propulsion Stage and will collect telemetry validating the nanotechnology on board the platform in the hostile environment of deep space.
Lunar Reconnaissance Orbiter,Lunar Reconnaissance Orbiter,18-06-2009,Atlas V 401,NASA,Orbiter,It is to flyby the Moon and collect its surface thermography.
LCROSS,LCROSS,18-06-2009,Atlas V 401,NASA,Impactor,It is a solar sail that will flyby a near-Earth asteroid.
Chang'e 2,Chang'e 2,01-10-2010,Long March 3C,CNSA,Orbiter,Operational
GRAIL,Ebb (GRAIL-A),10-09-2011,Delta II 7920H,NASA,Orbiter,"It will image the Earth's plasmasphere, impact craters on the Moon's far side, and small trajectory maneuvers near the Moon."
GRAIL,Flow (GRAIL-B),10-09-2011,Delta II 7920H,NASA,Orbiter,It was a lunar surface probe attempting to semi-hard land using solid rocket motors. Carrier and solid motor was to impact. Communication failure occurred and the probe missed and flew by the Moon.
LADEE,LADEE,07-09-2013,Minotaur V,NASA,Orbiter,"CubeSat spacecraft on an astrobiology mission that will use budding yeast to detect, measure, and compare the impact of deep space radiation on DNA repair over long time beyond low Earth orbit."
Chang'e 3,Chang'e 3,01-12-2013,Long March 3B,CNSA,Lander,CubeSat to orbit the Sun to study the dynamic particles and magnetic fields.
Chang'e 3,Yutu,01-12-2013,Long March 3B,CNSA,Rover,CubeSat that will demonstrate navigation in deep space using innovative plasma thrusters.
Chang'e 5-T1,Chang'e 5-T1,23-10-2014,Long March 3C,CNSA,Orbiter,Lunar lander technology demonstration.[94] Contact lost during final stage of landing and deemed a failure. Cause of failure determined to be a software bug associated with the altitude estimation system.[95]
Chang'e 5-T1,Chang'e 5-T1 Return Capsule,23-10-2014,Long March 3C,CNSA,Orbiter,Lunar rover demonstration. Launched aboard ispace's Hakuto-R lander.[96] Lost with Hakuto-R. The impact made the United Arab Emirates the 9th country to reach the surface of the Moon.
Manfred Memorial Moon Mission,Manfred Memorial Moon Mission,23-10-2014,Long March 3C,LuxSpace,Flyby / Impactor (post mission),"Initially scheduled to be launched on the Artemis 1 mission, moved to a Falcon 9 Block 5 after not making it for the payload integration deadline. NASA announced later that it would not make its planned orbit or monthly flybys due to thruster issues.[97][2]"
TESS,TESS,18-04-2018,Falcon 9 Full Thrust,NASA,Flyby,En route
Queqiao,Queqiao relay satellite,21-05-2018,Long March 4C,CNSA,Relay Satellite,Will fly by the Moon in August 2024 en route to Ganymede.
Longjiang,Longjiang-1,21-05-2018,Long March 4C,CNSA,Orbiter,Operational
Longjiang,Longjiang-2,21-05-2018,Long March 4C,CNSA,Orbiter,Operational
Chang'e 4,Chang'e 4,07-12-2018,Long March 3B,CNSA,Lander,Operational
Chang'e 4,'Yutu-2,07-12-2018,Long March 3B,CNSA,Rover,"Launched on 14 July 2023, Orbit insertion on 5 August 2023, Lander separated from propulsion module on 17 August 2023, landed on 23 August 2023.18:02 IST, (12:32 UTC) and deployed the Pragyan rover. First spacecraft to soft land near the lunar South Pole."
Beresheet,Beresheet,22-02-2019,Falcon 9,SpaceIL,Lander,"Launched on 10 August 2023, Orbital insertion on 16 August 2023, failed orbital maneuver on 19 August 2023 set the spacecraft on the crash course with the Moon's surface. Loss of communication was confirmed by Roscosmos on 20 August 2023.The impact made Russia the 10th country to reach lunar surface."
Chandrayaan-2,Chandrayaan-2 Orbiter,22-07-2019,LVM3 M1,ISRO,Orbiter,
Chandrayaan-2,Vikram,22-07-2019,LVM3 M1,ISRO,Lander,
Chandrayaan-2,Pragyan,22-07-2019,LVM3 M1,ISRO,Rover,
Chang'e 5,Chang'e 5 Orbiter,23-11-2020,Long March 5,CNSA,Orbiter,
Chang'e 5,Chang'e 5 Lander,23-11-2020,Long March 5,CNSA,Lander,
Chang'e 5,Chang'e 5 Ascender,23-11-2020,Long March 5,CNSA,Launch Vehicle,
Chang'e 5,Chang'e 5 Returner,23-11-2020,Long March 5,CNSA,Sample Return,
CAPSTONE,CAPSTONE,28-06-2022,Electron,NASA,Orbiter,
Danuri (Korea Pathfinder Lunar Orbiter),Danuri,04-08-2022,Falcon 9,KARI,Orbiter[91][92],
Artemis 1,Artemis 1 Orion MPCV CM-002,16-11-2022,SLS Block 1,NASA,Orbiter,
LunaH-Map and Lunar IceCube,LunaH-Map,16-11-2022,SLS Block 1,NASA,Orbiter,
LunaH-Map and Lunar IceCube,Lunar IceCube,16-11-2022,SLS Block 1,NASA,Orbiter,
ArgoMoon,ArgoMoon,16-11-2022,SLS Block 1,ASI,Flybys,
LunIR,LunIR,16-11-2022,SLS Block 1,Lockheed Martin,Flyby,
Near-Earth Asteroid Scout,Near-Earth Asteroid Scout,16-11-2022,SLS Block 1,NASA,Flyby,
EQUULEUS,EQUULEUS,16-11-2022,SLS Block 1,JAXA,Flybys,
OMOTENASHI,OMOTENASHI,16-11-2022,SLS Block 1,JAXA,Impactor,
BioSentinel,BioSentinel,16-11-2022,SLS Block 1,NASA,Flyby,
CubeSat for Solar Particles,CubeSat for Solar Particles,16-11-2022,SLS Block 1,NASA,Flyby,
Team Miles,Team Miles,16-11-2022,SLS Block 1,Fluid & Reason,Flyby,
Hakuto-R Mission 1,Hakuto-R,11-12-2022,Falcon 9 Block 5,ispace,Lander,
Hakuto-R Mission 1,SORA-Q,11-12-2022,Falcon 9 Block 5,Tomy/JAXA/Dodai,Rover,
Emirates Lunar Mission,Rashid,11-12-2022,Falcon 9 Block 5,UAESA/MBRSC,Rover,
Lunar Flashlight,Lunar Flashlight,11-12-2022,Falcon 9 Block 5,NASA,Flyby,
Jupiter Icy Moons Explorer,Jupiter Icy Moons Explorer,14-04-2023,Ariane 5 ECA,ESA,Flyby,
Chandrayaan-3,Chandrayaan-3,14-07-2023,LVM3 M4,ISRO,Orbiter,
Chandrayaan-3,Vikram,14-07-2023,LVM3 M4,ISRO,Lander,
Chandrayaan-3,Pragyan rover,14-07-2023,LVM3 M4,ISRO,Rover,
Luna 25,Luna 25,10-08-2023,Soyuz-2.1b/Fregat,Roscosmos,Lander,
